wiek	waga	wzrost	plec	stan_cywilny	liczba_dzieci	budynek	wydatki	oszczednosci
25	61.7	121.12	NA	FALSE	2	loft	1662.91	23.44
37	63.9	145	M	TRUE	6	wielka_plyta	4041.86	96.84
41	50.2	145.03	K	TRUE	2	apartament	3853.45	312.68
43	72.4	179.9	M	FALSE	1	wielka_plyta	2398.88	447.43
26	78.4	163.91	M	FALSE	1	apartament	2344.45	-78.23
49	59.4	151.86	K	TRUE	2	loft	1967.87	1241.98
27	67.5	169.31	M	FALSE	1	jednorodzinny	2249.04	-211.43
49	82.3	179.17	K	FALSE	0	wielka_plyta	1775.58	793.16
38	64.1	138.37	K	TRUE	5	wielka_plyta	3382.54	486.2
33	77.4	193.44	M	FALSE	2	apartament	2761.55	288.45
44	73.1	183.18	M	FALSE	3	apartament	3623.29	636
27	84.4	192.4	M	TRUE	4	wielka_plyta	1875.45	38.54
46	63.4	164.44	K	TRUE	4	jednorodzinny	3914.56	830.16
45	67.3	143.9	M	FALSE	0	jednorodzinny	2557.51	786.83
43	59.1	145	M	FALSE	1	jednorodzinny	3055.83	605.07
39	76.2	162.01	M	TRUE	1	kamienica	2999.68	124.94
39	63.2	161.07	M	FALSE	1	wielka_plyta	1668.44	499.59
45	84.5	167.12	K	FALSE	1	jednorodzinny	3486.93	401
66	67.6	163.15	M	FALSE	0	kamienica	1913.88	2225.13
31	65.3	155.33	M	FALSE	0	apartament	1774.34	418.15
34	82.3	197.79	K	TRUE	2	apartament	3300.89	117.86
49	82.4	182.62	K	TRUE	4	jednorodzinny	4245.28	817.13
38	57.7	170.62	K	FALSE	1	kamienica	2718.88	176.54
45	58.1	123.72	M	FALSE	1	jednorodzinny	3599.47	392.37
36	52.1	168.81	M	FALSE	4	jednorodzinny	3329.57	450.86
33	68.6	151.63	K	FALSE	1	loft	1133.85	438.34
51	72.7	170.02	M	FALSE	1	kamienica	3004.49	883.56
35	72.7	152.19	K	FALSE	0	jednorodzinny	3003.62	-163.15
32	80.8	165.09	M	TRUE	4	kamienica	3525.02	27.19
30	73.2	166.42	M	FALSE	1	loft	730.59	398.85
38	55.4	158.97	K	FALSE	0	kamienica	2338.62	64.02
24	86.1	203.77	M	FALSE	2	apartament	2705.48	-199.07
28	70.3	169	M	TRUE	2	loft	1754.9	41.99
47	75.9	161.26	K	FALSE	0	wielka_plyta	1799.88	662.1
37	76.9	145.27	M	TRUE	3	apartament	3602.7	533.72
47	90.1	202.12	K	FALSE	0	apartament	954.61	1557.63
39	55.8	161.64	M	FALSE	0	apartament	1850.95	800.23
43	48	150.06	M	TRUE	3	apartament	3749.53	817.37
35	64.9	160.38	M	TRUE	3	apartament	3743.41	299.02
